symbol,date,open,close,high,low,volume,max(highs),max(highs)-open,,min(lows),min(lows)-open,
AAPL,22/06/2022 23:50,135.14,135.15,135.35,135.12,4473,,,,,,
AAPL,22/06/2022 23:55,135.16,135.17,135.21,135.13,9823,,,,,,
AAPL,23/06/2022 00:00,135.19,135.19,135.21,135.1,9330,,,,,,
AAPL,23/06/2022 00:05,135.1,135.11,135.19,135.1,2053,,,,,,
AAPL,23/06/2022 00:10,135.13,135.17,135.17,135.11,2683,,,,,,
AAPL,23/06/2022 00:15,135.16,135.175,135.18,135.14,3298,,,,,,
AAPL,23/06/2022 00:20,135.165,135.17,135.19,135.16,2081,,,,,,
AAPL,23/06/2022 00:25,135.18,135.165,135.19,135.14,2407,,,,,,
AAPL,23/06/2022 00:30,135.16,135.17,135.2,135.14,2096,,,,,,
AAPL,23/06/2022 00:35,135.16,135.15,135.2,135.15,4523,,,,,,
AAPL,23/06/2022 00:40,135.165,135.18,135.2,135.15,1347,,,,,,
AAPL,23/06/2022 00:45,135.17,135.17,135.2,135.15,719,,,,,,
AAPL,23/06/2022 00:50,135.15,135.165,135.19,135.14,1776,,,,,,
AAPL,23/06/2022 00:55,135.15,135.15,135.17,135.15,3089,,,,,,
AAPL,23/06/2022 01:00,135.15,135.125,135.2,135.1,15693,,,,,,
AAPL,23/06/2022 01:05,135.12,134.85,135.12,134.75,17707,,,,,,
AAPL,23/06/2022 01:10,134.81,134.91,134.95,134.81,6036,,,,,,
AAPL,23/06/2022 01:15,134.9,134.87,135,134.85,8330,,,,,,
AAPL,23/06/2022 01:20,134.885,134.85,134.93,134.85,3948,,,,,,
AAPL,23/06/2022 01:25,134.83,134.865,134.97,134.82,4504,,,,,,
AAPL,23/06/2022 01:30,134.86,134.785,134.89,134.77,8685,,,,,,
AAPL,23/06/2022 01:35,134.8,134.78,134.85,134.77,5592,,,,,,
AAPL,23/06/2022 01:40,134.775,134.825,134.85,134.72,1603,,,,,,
AAPL,23/06/2022 01:45,134.83,134.81,134.85,134.78,1333,,,,,,
