date,symbol,open,high,low,close,diff close-open,percentage,daily pnl%,daily %,buy&hold
18/11/2022,AAPL,152.305,152.7,149.97,151.29,-1.015,-0.006664259,2.199312471,-0.014656788,2.184655683
21/11/2022,AAPL,150.16,150.37,147.715,148.01,-2.15,-0.014318061,2.184655683,-0.031280033,2.15337565
22/11/2022,AAPL,148.13,150.42,146.925,150.18,2.05,0.013839195,2.15337565,0.029800986,2.183176636
23/11/2022,AAPL,149.45,151.83,149.34,151.07,1.62,0.010839746,2.183176636,0.02366508,2.206841716
25/11/2022,AAPL,148.305,148.88,147.12,148.11,-0.195,-0.001314858,2.206841716,-0.002901683,2.203940032
28/11/2022,AAPL,145.14,146.64,143.38,144.22,-0.92,-0.006338707,2.203940032,-0.01397013,2.189969902
29/11/2022,AAPL,144.29,144.81,140.355,141.17,-3.12,-0.02162312,2.189969902,-0.047353982,2.14261592
30/11/2022,AAPL,141.395,148.72,140.55,148.03,6.635,0.04692528,2.14261592,0.100542852,2.243158772
01/12/2022,AAPL,148.21,149.13,146.61,148.31,0.1,0.000674718,2.243158772,0.0015135,2.244672272
02/12/2022,AAPL,145.96,148,145.65,147.81,1.85,0.012674705,2.244672272,0.028450559,2.273122831
05/12/2022,AAPL,147.77,150.9199,145.77,146.63,-1.14,-0.007714692,2.273122831,-0.017536443,2.255586388
06/12/2022,AAPL,147.075,147.3,141.92,142.91,-4.165,-0.028318885,2.255586388,-0.063875692,2.191710697
07/12/2022,AAPL,142.19,143.37,140,140.94,-1.25,-0.008791054,2.191710697,-0.019267447,2.172443249
08/12/2022,AAPL,142.36,143.52,141.1,142.65,0.29,0.002037089,2.172443249,0.00442546,2.17686871
09/12/2022,AAPL,142.34,145.57,140.9,142.16,-0.18,-0.001264578,2.17686871,-0.00275282,2.174115889
12/12/2022,AAPL,142.7,144.5,141.06,144.49,1.79,0.012543798,2.174115889,0.027271671,2.20138756
13/12/2022,AAPL,149.5,149.9692,144.24,145.47,-4.03,-0.026956522,2.20138756,-0.059341752,2.142045808
14/12/2022,AAPL,145.35,146.655,141.16,143.21,-2.14,-0.014723082,2.142045808,-0.031537516,2.110508292
15/12/2022,AAPL,141.11,141.8,136.025,136.5,-4.61,-0.032669549,2.110508292,-0.068949354,2.041558938
16/12/2022,AAPL,136.685,137.65,133.73,134.51,-2.175,-0.0159125,2.041558938,-0.032486307,2.009072631
19/12/2022,AAPL,135.11,135.2,131.32,132.37,-2.74,-0.020279772,2.009072631,-0.040743535,1.968329096
20/12/2022,AAPL,131.39,133.25,129.89,132.3,0.91,0.006925946,1.968329096,0.013632541,1.981961637
21/12/2022,AAPL,132.98,136.81,132.75,135.45,2.47,0.018574222,1.981961637,0.036813395,2.018775033
22/12/2022,AAPL,134.352,134.56,130.3,132.23,-2.122,-0.015794331,2.018775033,-0.031885201,1.986889832
23/12/2022,AAPL,130.92,132.415,129.64,131.86,0.94,0.007179957,1.986889832,0.014265784,2.001155615
27/12/2022,AAPL,131.38,131.41,128.72,130.03,-1.35,-0.010275537,2.001155615,-0.020562949,1.980592667
28/12/2022,AAPL,129.67,131.0275,125.87,126.04,-3.63,-0.027994139,1.980592667,-0.055444986,1.92514768
29/12/2022,AAPL,127.99,130.4814,127.73,129.61,1.62,0.012657239,1.92514768,0.024367054,1.949514734
30/12/2022,AAPL,128.41,129.95,127.43,129.93,1.52,0.011837084,1.949514734,0.02307657,1.972591304
03/01/2023,AAPL,130.28,130.9,124.17,125.07,-5.21,-0.039990789,1.972591304,-0.078885483,1.893705821
04/01/2023,AAPL,126.89,128.6557,125.08,126.36,-0.53,-0.004176846,1.893705821,-0.007909718,1.885796104
05/01/2023,AAPL,127.13,127.77,124.76,125.02,-2.11,-0.016597184,1.885796104,-0.031298905,1.854497199
06/01/2023,AAPL,126.01,130.29,124.89,129.62,3.61,0.02864852,1.854497199,0.0531286,1.907625799
09/01/2023,AAPL,130.465,133.41,129.89,130.15,-0.315,-0.002414441,1.907625799,-0.00460585,1.903019949
10/01/2023,AAPL,130.26,131.2636,128.12,130.73,0.47,0.003608168,1.903019949,0.006866416,1.909886365
11/01/2023,AAPL,131.25,133.51,130.46,133.49,2.24,0.017066667,1.909886365,0.032595395,1.942481759
12/01/2023,AAPL,133.88,134.26,131.44,133.41,-0.47,-0.003510607,1.942481759,-0.00681929,1.935662469
13/01/2023,AAPL,132.03,134.92,131.66,134.76,2.73,0.020677119,1.935662469,0.040023923,1.975686393
17/01/2023,AAPL,134.83,137.29,134.13,135.94,1.11,0.008232589,1.975686393,0.016265014,1.991951407
18/01/2023,AAPL,136.815,138.61,135.03,135.21,-1.605,-0.01173117,1.991951407,-0.023367921,1.968583486
19/01/2023,AAPL,134.08,136.25,133.77,135.27,1.19,0.008875298,1.968583486,0.017471765,1.986055251
20/01/2023,AAPL,135.28,138.02,134.22,137.87,2.59,0.019145476,1.986055251,0.038023973,2.024079224
23/01/2023,AAPL,138.12,143.315,137.9,141.11,2.99,0.021647842,2.024079224,0.043816947,2.067896172
24/01/2023,AAPL,140.305,143.16,140.3,142.53,2.225,0.015858309,2.067896172,0.032793336,2.100689508
25/01/2023,AAPL,140.89,142.43,138.81,141.86,0.97,0.006884804,2.100689508,0.014462836,2.115152344
26/01/2023,AAPL,143.17,144.25,141.9,143.96,0.79,0.005517916,2.115152344,0.011671233,2.126823576
27/01/2023,AAPL,143.155,147.23,143.08,145.93,2.775,0.019384583,2.126823576,0.041227588,2.168051165
30/01/2023,AAPL,144.955,145.55,142.85,143,-1.955,-0.013486944,2.168051165,-0.029240385,2.13881078
31/01/2023,AAPL,142.7,144.34,142.28,144.29,1.59,0.011142256,2.13881078,0.023831177,2.162641957
01/02/2023,AAPL,143.97,146.61,141.32,145.43,1.46,0.010141002,2.162641957,0.021931356,2.184573314
02/02/2023,AAPL,148.9,151.18,148.17,150.82,1.92,0.01289456,2.184573314,0.028169112,2.212742425
