date,symbol,open,high,low,close
10/10/2022,AAPL,140.42,141.89,138.5729,140.42
11/10/2022,AAPL,139.9,141.35,138.22,138.98
12/10/2022,AAPL,139.13,140.36,138.16,138.34
13/10/2022,AAPL,134.99,143.59,134.37,142.99
14/10/2022,AAPL,144.31,144.52,138.19,138.38
17/10/2022,AAPL,141.065,142.9,140.27,142.41
18/10/2022,AAPL,145.49,146.7,140.61,143.75
19/10/2022,AAPL,141.69,144.9492,141.5,143.86
20/10/2022,AAPL,143.02,145.89,142.65,143.39
21/10/2022,AAPL,142.87,147.8479,142.649,147.27
24/10/2022,AAPL,147.185,150.23,146,149.45
25/10/2022,AAPL,150.09,152.49,149.36,152.34
26/10/2022,AAPL,150.96,151.99,148.04,149.35
27/10/2022,AAPL,148.07,149.046,144.13,144.8
28/10/2022,AAPL,148.2,157.5,147.82,155.74
31/10/2022,AAPL,153.155,154.24,151.92,153.34
01/11/2022,AAPL,155.08,155.45,149.13,150.65
02/11/2022,AAPL,148.945,152.17,145,145.03
03/11/2022,AAPL,142.06,142.8,138.75,138.88
04/11/2022,AAPL,142.09,142.67,134.38,138.38
07/11/2022,AAPL,137.11,139.145,135.671,138.92
08/11/2022,AAPL,140.41,141.43,137.49,139.5
09/11/2022,AAPL,138.5,138.55,134.5933,134.87
10/11/2022,AAPL,141.24,146.87,139.5,146.87
11/11/2022,AAPL,145.82,150.01,144.37,149.7
14/11/2022,AAPL,148.97,150.28,147.43,148.28
15/11/2022,AAPL,152.215,153.59,148.5613,150.04
16/11/2022,AAPL,149.13,149.87,147.29,148.79
17/11/2022,AAPL,146.43,151.48,146.15,150.72
18/11/2022,AAPL,152.305,152.7,149.97,151.29
21/11/2022,AAPL,150.16,150.37,147.715,148.01
22/11/2022,AAPL,148.13,150.42,146.925,150.18
23/11/2022,AAPL,149.45,151.83,149.34,151.07
25/11/2022,AAPL,148.305,148.88,147.12,148.11
28/11/2022,AAPL,145.14,146.64,143.38,144.22
29/11/2022,AAPL,144.29,144.81,140.355,141.17
30/11/2022,AAPL,141.395,148.72,140.55,148.03
01/12/2022,AAPL,148.21,149.13,146.61,148.31
02/12/2022,AAPL,145.96,148,145.65,147.81
05/12/2022,AAPL,147.77,150.9199,145.77,146.63
06/12/2022,AAPL,147.075,147.3,141.92,142.91
07/12/2022,AAPL,142.19,143.37,140,140.94
08/12/2022,AAPL,142.36,143.52,141.1,142.65
09/12/2022,AAPL,142.34,145.57,140.9,142.16
12/12/2022,AAPL,142.7,144.5,141.06,144.49
13/12/2022,AAPL,149.5,149.9692,144.24,145.47
14/12/2022,AAPL,145.35,146.655,141.16,143.21
15/12/2022,AAPL,141.11,141.8,136.025,136.5
16/12/2022,AAPL,136.685,137.65,133.73,134.51
19/12/2022,AAPL,135.11,135.2,131.32,132.37
20/12/2022,AAPL,131.39,133.25,129.89,132.3
21/12/2022,AAPL,132.98,136.81,132.75,135.45
22/12/2022,AAPL,134.352,134.56,130.3,132.23
23/12/2022,AAPL,130.92,132.415,129.64,131.86
27/12/2022,AAPL,131.38,131.41,128.72,130.03
28/12/2022,AAPL,129.67,131.0275,125.87,126.04
29/12/2022,AAPL,127.99,130.4814,127.73,129.61
30/12/2022,AAPL,128.41,129.95,127.43,129.93
03/01/2023,AAPL,130.28,130.9,124.17,125.07
04/01/2023,AAPL,126.89,128.6557,125.08,126.36
05/01/2023,AAPL,127.13,127.77,124.76,125.02
06/01/2023,AAPL,126.01,130.29,124.89,129.62
09/01/2023,AAPL,130.465,133.41,129.89,130.15
10/01/2023,AAPL,130.26,131.2636,128.12,130.73
11/01/2023,AAPL,131.25,133.51,130.46,133.49
12/01/2023,AAPL,133.88,134.26,131.44,133.41
13/01/2023,AAPL,132.03,134.92,131.66,134.76
17/01/2023,AAPL,134.83,137.29,134.13,135.94
18/01/2023,AAPL,136.815,138.61,135.03,135.21
19/01/2023,AAPL,134.08,136.25,133.77,135.27
20/01/2023,AAPL,135.28,138.02,134.22,137.87
23/01/2023,AAPL,138.12,143.315,137.9,141.11
24/01/2023,AAPL,140.305,143.16,140.3,142.53
25/01/2023,AAPL,140.89,142.43,138.81,141.86
26/01/2023,AAPL,143.17,144.25,141.9,143.96
27/01/2023,AAPL,143.155,147.23,143.08,145.93
30/01/2023,AAPL,144.955,145.55,142.85,143
31/01/2023,AAPL,142.7,144.34,142.28,144.29
01/02/2023,AAPL,143.97,146.61,141.32,145.43
02/02/2023,AAPL,148.9,151.18,148.17,150.82
03/02/2023,AAPL,148.03,157.38,147.83,154.5
06/02/2023,AAPL,152.575,153.1,150.78,151.73
07/02/2023,AAPL,150.64,155.23,150.64,154.65
08/02/2023,AAPL,153.88,154.58,151.168,151.92
09/02/2023,AAPL,153.775,154.33,150.42,150.87
10/02/2023,AAPL,149.46,151.3401,149.22,151.01
13/02/2023,AAPL,150.952,154.26,150.92,153.85
14/02/2023,AAPL,152.12,153.77,150.86,153.2
15/02/2023,AAPL,153.11,155.5,152.88,155.33
16/02/2023,AAPL,153.51,156.33,153.3475,153.71
17/02/2023,AAPL,152.35,153,150.85,152.55
21/02/2023,AAPL,150.2,151.3,148.405,148.48
22/02/2023,AAPL,148.87,149.95,147.16,148.91
23/02/2023,AAPL,150.09,150.34,147.24,149.4
24/02/2023,AAPL,147.11,147.19,145.7202,146.71
27/02/2023,AAPL,147.71,149.17,147.45,147.92
28/02/2023,AAPL,147.05,149.08,146.83,147.41
01/03/2023,AAPL,146.83,147.2285,145.01,145.31
02/03/2023,AAPL,144.38,146.71,143.9,145.91
03/03/2023,AAPL,148.045,151.11,147.33,151.03
06/03/2023,AAPL,153.785,156.3,153.46,153.83
07/03/2023,AAPL,153.7,154.0299,151.13,151.6
08/03/2023,AAPL,152.81,153.47,151.83,152.87
09/03/2023,AAPL,153.559,154.535,150.225,150.59
10/03/2023,AAPL,150.21,150.94,147.6096,148.5
13/03/2023,AAPL,147.805,153.14,147.7,150.47
14/03/2023,AAPL,151.28,153.4,150.1,152.59
15/03/2023,AAPL,151.19,153.245,149.92,152.99
16/03/2023,AAPL,152.16,156.46,151.64,155.85
17/03/2023,AAPL,156.08,156.74,154.28,155
20/03/2023,AAPL,155.07,157.82,154.15,157.4
21/03/2023,AAPL,157.32,159.4,156.54,159.28
22/03/2023,AAPL,159.3,162.14,157.81,157.83
23/03/2023,AAPL,158.83,161.5501,157.68,158.93
24/03/2023,AAPL,158.86,160.34,157.85,160.25
27/03/2023,AAPL,159.94,160.77,157.87,158.28
28/03/2023,AAPL,157.97,158.49,155.98,157.65
29/03/2023,AAPL,159.37,161.05,159.35,160.77
30/03/2023,AAPL,161.53,162.47,161.271,162.36
31/03/2023,AAPL,162.44,165,161.91,164.9
03/04/2023,AAPL,164.27,166.29,164.22,166.17
04/04/2023,AAPL,166.595,166.84,165.11,165.63
05/04/2023,AAPL,164.74,165.05,161.8,163.76
06/04/2023,AAPL,162.43,164.9584,162,164.66
10/04/2023,AAPL,161.42,162.03,160.08,162.03
11/04/2023,AAPL,162.35,162.36,160.51,160.8
12/04/2023,AAPL,161.22,162.06,159.78,160.1
13/04/2023,AAPL,161.63,165.8,161.42,165.56
14/04/2023,AAPL,164.59,166.32,163.82,165.21
17/04/2023,AAPL,165.09,165.39,164.03,165.23
18/04/2023,AAPL,166.1,167.41,165.65,166.47
19/04/2023,AAPL,165.8,168.16,165.54,167.63
20/04/2023,AAPL,166.09,167.87,165.56,166.65
21/04/2023,AAPL,165.05,166.4521,164.49,165.02
24/04/2023,AAPL,165,165.6,163.89,165.33
25/04/2023,AAPL,165.19,166.305,163.73,163.77
26/04/2023,AAPL,163.055,165.28,162.8,163.76
27/04/2023,AAPL,165.19,168.56,165.19,168.41
28/04/2023,AAPL,168.49,169.85,167.8801,169.68
01/05/2023,AAPL,169.28,170.45,168.64,169.59
02/05/2023,AAPL,170.09,170.35,167.54,168.54
